Общие данные 
ФИО: 
Пол:
Возраст:
Вес:
Рост
Жалобы:
Уже присутствующие заболевания:
Принимаемые лекарства:
Физическая активность:
2 - 3 тренировки в неделю
3 - 5 тренировки в неделю
5 - 7 тренировки в неделю
Таблица показателей крови

Показатель | Результат  | Референс | Оптимальные значения | Комментарии / Диагностика
Гемоглобин (HGB или HB) |  | 120–140 г/л | 120–140 г/л | 
Эритроциты (RBC) |  | 3.5–5.3 | 3.7–4.7 | 
Лейкоциты (WBC) |  | 4–10 тыс/мкл | 4.5–9 тыс/мкл | 
Гематокрит (HCT) |  | 34–49% | 34–45% | 
Средний объем эритроцита(MCV) |  | 80–90 фл | 87±5 фл | 
Среднее содержание гемоглобина в эритроците(MCH) |  | 27–34 пг | 27–34 пг | 
Средняя концентрация гемоглобина в эритроците(MCHC) |  | 32–37 г/дл | 32–37 г/дл | 
Ширина распределения эритроцита(RDW) |  | 11.6–14.8% | 11.6–14.8% | 
Тромбоциты (PLT) |  | 200–400 тыс/мкл | 180–350 тыс/мкл | 
Нейтрофилы (NEUT) |  | 48–78% | <60% | 
Лимфоциты (LYM) |  | 19–37% | 23–37% | 
Моноциты (MON) |  | 3–11% | <9% | 
Эозинофилы (EOS) |  | 1–5% | <3% | 
Базофилы (BAS) |  | <1% | <1% | 
СОЭ (ESR) |  | 0–15 мм/ч | 0–15 мм/ч | 
ТТГ |  | 0.4–4 мЕд/л | 0.8–2.5 мЕд/л | Основной гормон регуляции ЩЖ
АТ-ТГ |  | 0-40 МЕ/мл | нулевые значения | Антитела к тиреоглобулину – АИТ
АТ-ТПО |  | 0-34 МЕ/мл | До середины референса | Антитела – аутоиммунные процессы
Т3 свободный |  | 3.1–6.8 пмоль/л | середина референса | Активная форма гормона
Т4 свободный |  | 10.3–24.5 пмоль/л | выше середины референса | Неактивная форма
Йод в сыворотке крови |  | не указан | в середине референса | Обеспеченность йодом
Инсулин |  | 2.7–10.4 мкЕд/мл | 5–7 мкЕд/мл | Инсулинорезистентность
Гликированный гемоглобин |  | <5.7% | <5.4% | Глюкоза за 3 месяца
Глюкоза  |  | 4.1-5.9 ммоль/л | 4.5-5 ммоль/л | 
С-пептид |  | 0.78–1.89 нг/мл | 1.1–1.6 нг/мл | Выработка инсулина
Индекс HOMA(IR) |  | <2.7 | ≤ 1.4 | ИР, метаболический риск. Инсулин х глюкоза/22,5
Альфа – амилаза |  | <125 Ед/л | <100 Ед/л | Поджелудочная железа
Липаза |  | <60 Ед/л | <50 Ед/л | Панкреатическая функция
Общий билирубин |  | 3.4–21 мкмоль/л | <15 мкмоль/л | Желчный отток, печень
Непрямой билирубин |  | <17.1 мкмоль/л | <13 мкмоль/л | Гемолиз, печень
Прямой билирубин |  | <5.1 мкмоль/л | <3.4 мкмоль/л | Печень, желчные пути
Коэффициент де Ритиса |  | 0.9–1.3 | ~1.0 | АСТ/АЛТ – печень/сердце
Альбумин |  | 35–50 г/л | 43–50 г/л | Белок, печень, питание
Щелочная фосфатаза |  | 30–120 Ед/л | 40–90 Ед/л | Желчный отток, кости
Гамма-глутаминтранфераза(ГГТ) |  | до 49 Ед/л | <40 Ед/л | Печень, желчные пути
Триглицериды |  | <1.7 ммоль/л | <1.2 ммоль/л | Атерогенность
Общий холестерин |  | <5.2 ммоль/л | <4.7 ммоль/л | Сердечно-сосудистый риск
ЛПВП |  | 1.03-1.55 ммоль/л | >1.3 ммоль/л | Хороший холестерин
ЛПНП |  | <3.3 ммоль/л | <2.6 ммоль/л | Плохой холестерин
Коэффициент атерогенности |  | <3.5 | <2.5 | Оценка риска ССЗ
Мочевая кислота |  | до 340 мкмоль/л | <300 мкмоль/л | Суставы, подагра
Мочевина |  | 3.5-7.3 ммоль/л | <5.5 мкмоль/л | Обмен белков
Креатинин |  |  | 44–97 мкмоль/л |  Почки 
Общий белок |  | 64–83 г/л | 72–78 г/л | Важно для иммунитета, ферментов, гормонов
С-реактивный белок (СРБ) |  | 0–1 мг/л | <1 мг/л | Маркер воспаления
Ферритин |  | 15–150 нг/мл | 60–90 нг/мл | Запасы железа
Трансферин |  | 2.0–3.6 г/л | 2.5–3.3 г/л | Транспорт железа
Железо |  | 12–30 мкмоль/л | 20–25 мкмоль/л | Дефицит, анемия
Витамин D (25(OH)D) |  | 30–100 нг/мл | 60–90 нг/мл | Иммунитет, кости, настроение
 |  |  |  | 
Фолиевая кислота (B9) |  | 6–14 нг/мл | >10 нг/мл | Клеточное деление
В6 (пиридоксин) |  | ≥20 нг/мл | 35–70 нг/мл | Нервная система
В2 (рибофлавин) |  | ≥4.3 мкг/л | >6 мкг/л | Кожа, обмен веществ
В1 (тиамин) |  | ≥25 нг/мл | 35–75 нг/мл | Нервная система
В3 (никотиновая кислота) |  | ≥0.5 мкг/мл | >1.0 мкг/мл | Сосуды, кожа
В5 (пантотеновая кислота) |  | ≥1.0 мкг/мл | 1.5–2.5 мкг/мл | Надпочечники
В7 (биотин) |  | ≥200 пг/мл | 300–800 пг/мл | Кожа, ногти, волосы
В8 (инозит) |  | ≥60 мкг/л | 80–120 мкг/л | Чувствительность к инсулину
Витамин К2 |  | 50–900 нг/л | 600 нг/л | Свертываемость, кальций
Витамин A |  |  | 0.3–0.8 мкг/мл | Кожа, зрение, иммунитет
Витамин E |  | 11–18 мг/л | 15 мг/л | Антиоксидант
Витамин C |  | >8 мг/л | >8 мг/л | Антиоксидант, иммунитет
Кальций  |  | 2.2–2.6 ммоль/л | 2.2–2.6 ммоль/л | Кости, мышцы
Магний |  | 0.65–1.1 ммоль/л | 0.8–1 ммоль/л | Нервная система, гормоны
Цинк  |  | 11–18 мкмоль/л | 18 мкмоль/л | Иммунитет, кожа
Медь  |  | 11–24 мкмоль/л | 19 мкмоль/л | ЖКТ, ферменты
Хром  |  | 0.05–0.1 мкг/мл | 0.1 мкг/мл | Углеводный обмен
Селен  |  | 90–120 мкг/л | 90 мкг/л | Антиоксидант, ЩЖ
Марганец |  | 4.7–18.3 мкг/л | 10–15 мкг/л | Ферментативные реакции
Натрий |  | 136–145 ммоль/л | 138–142 ммоль/л | Водный баланс
Калий |  | 3.5–5.1 ммоль/л | 4.0–4.5 ммоль/л | Сердце, мышцы
Хлор |  | 95–110 ммоль/л | 100–105 ммоль/л | КЩБ
Фтор |  | – | по индивидуальному анализу | Зубы, кости
Сера |  | – | по анализу волос | Детоксикация, кожа
Фосфор |  | 0.87–1.45 ммоль/л | 1.0–1.2 ммоль/л | Кости, обмен
Антитела к антигенам токсокар IgG
 |  | отрицательно | отрицательно | 
Антитела к антигенам трихинелл IgG
 |  | отрицательно | отрицательно | 
Антитела к антигенам эхинококка IgG
Антитела к антигенам описторхисов IgG |  | отрицательно | отрицательно | 
Антитела к Toxoplasma gondii IgG (количественный)
 |  | отрицательно | отрицательно | 
Антитела к антигенам аскарид IgG
 |  | отрицательно | отрицательно | 
Антитела к    антигенам эхинококка IgG
 |  | отрицательно | отрицательно | 
Антитела к антигенам лямблий суммарные |  | отрицательно | отрицательно | 
